Rozmiar;BinaryHeap;LinkedList
5000;197.549;8.4862
10000;199.379;8.35944
15000;207.138;9.2796
20000;211.903;8.46898
25000;218.394;10.2668
30000;215.734;9.25574
35000;218.485;9.81128
40000;226.459;9.8519
45000;228.637;10.9011
50000;235.196;10.8764
55000;237.251;10.9727
60000;238.891;10.9429
65000;238.329;12.2029
70000;236.01;11.073
75000;250.346;12.1737
80000;259.678;13.2316
