Rozmiar;BinaryHeap;LinkedList
5000;1.22908;1.30672
10000;1.13754;1.32412
15000;1.1033;1.30386
20000;1.10852;1.30864
25000;1.1041;1.62918
30000;1.06284;1.18584
35000;1.07164;1.19558
40000;1.07764;1.16372
45000;1.06948;1.18104
50000;1.07762;1.19542
55000;1.0684;1.18622
60000;1.06742;1.20422
65000;1.0562;1.16702
70000;1.0494;1.2746
75000;1.08446;1.20318
80000;1.1031;1.42612
