Rozmiar;BinaryHeap;LinkedList
5000;2177.96;21191.9
10000;4048;47446.5
15000;6073.35;83802.7
20000;8108.88;126019
25000;10046;178909
30000;11613.1;234981
35000;13688.8;311922
40000;15735.3;407103
45000;17918.4;505009
50000;19901.9;605116
55000;21855.1;690380
60000;23748;775389
65000;25242.6;855264
70000;26709.2;949632
75000;29951.7;1.07377e+06
80000;31891.3;1.23147e+06
