Rozmiar;BinaryHeap;LinkedList
5000;1.87152;1.88996
10000;1.72176;1.7445
15000;1.68428;1.75208
20000;1.69112;1.79048
25000;1.6902;1.79522
30000;1.62542;1.7202
35000;1.64144;1.73126
40000;1.64888;1.71428
45000;1.7276;1.70828
50000;1.64684;1.7238
55000;1.63828;1.73802
60000;1.63868;1.73858
65000;1.62184;1.68764
70000;1.62486;1.68814
75000;1.6623;1.74524
80000;1.66658;1.81426
