Rozmiar;BinaryHeap;LinkedList
5000;37.8613;8298.86
10000;35.4348;16371.7
15000;34.9239;28292.3
20000;35.913;41644.7
25000;34.6889;60538.5
30000;33.4325;80031.7
35000;34.1176;103980
40000;34.2971;137379
45000;34.2049;171644
50000;34.7647;203194
55000;34.3031;232430
60000;35.1592;263155
65000;34.8789;289760
70000;33.5708;317072
75000;35.5113;359413
80000;37.6213;384226
